Widths:
0: 21592 (9,86%)
1: 72812 (33,24%)
2: 93711 (42,78%)
3: 15954 (7,28%)
4: 7324 (3,34%)
5: 3609 (1,65%)
6: 1838 (0,84%)
7: 973 (0,44%)
8: 558 (0,25%)
9: 317 (0,14%)
10: 213 (0,10%)
11: 74 (0,03%)
12: 34 (0,02%)
13: 53 (0,02%)

Heights:
0: 19926 (9,10%)
1: 60609 (27,67%)
2: 99519 (45,43%)
3: 19706 (9,00%)
4: 9451 (4,31%)
5: 4675 (2,13%)
6: 2415 (1,10%)
7: 1297 (0,59%)
8: 692 (0,32%)
9: 380 (0,17%)
10: 287 (0,13%)
11: 47 (0,02%)
12: 20 (0,01%)
13: 38 (0,02%)

Process finished with exit code 0
